镀种,电流密度档,温度,时间,质量
镀铬,低,34.0,33.6,OK
镀锌,高,42.2,38.0,烧焦
镀镍,中,23.5,28.6,OK
镀铬,高,40.8,28.7,烧焦
镀镍,高,37.9,13.6,烧焦
镀锌,高,26.0,27.9,OK
镀镍,低,25.6,28.0,OK
镀镍,高,37.4,24.6,烧焦
镀锌,中,15.1,19.3,镀层薄
镀铬,中,38.7,25.6,OK
镀镍,低,15.3,18.3,镀层薄
镀铬,高,28.3,16.0,OK
镀锌,中,36.9,21.9,OK
镀镍,中,43.4,19.2,针孔
镀镍,中,15.6,18.9,针孔
镀铬,中,33.7,15.0,OK
镀镍,中,28.0,33.3,烧焦
镀铬,低,40.5,26.9,OK
镀锌,中,40.4,7.7,镀层薄
镀锌,高,38.2,25.1,烧焦
镀锌,低,27.4,37.1,OK
镀锌,高,21.8,8.9,OK
镀铬,中,41.0,38.9,烧焦
镀镍,高,24.9,23.4,烧焦
镀镍,中,37.5,14.5,OK
镀锌,中,30.9,9.8,OK
镀镍,高,37.1,5.3,烧焦
镀锌,中,33.4,33.5,烧焦
镀铬,中,43.7,14.4,OK
镀锌,低,39.6,11.6,镀层薄
镀锌,中,16.2,13.3,针孔
镀锌,高,29.9,32.3,烧焦
镀铬,中,23.5,18.5,镀层薄
镀镍,中,28.3,19.0,镀层薄
镀锌,中,21.6,6.2,镀层薄
镀镍,低,37.7,8.4,镀层薄
镀锌,高,30.0,32.8,烧焦
镀锌,高,17.9,38.8,烧焦
镀镍,低,31.2,24.0,镀层薄
镀镍,低,24.1,35.0,OK
镀镍,中,39.1,11.8,镀层薄
镀铬,中,25.5,9.2,镀层薄
镀铬,高,23.4,33.8,烧焦
镀铬,中,25.5,15.1,镀层薄
镀锌,低,40.5,15.1,镀层薄
镀铬,高,25.7,13.9,OK
镀锌,高,31.5,30.8,烧焦
镀镍,高,25.0,11.3,OK
镀锌,高,20.3,33.3,烧焦
镀铬,低,24.3,25.7,镀层薄
镀铬,中,20.5,10.3,镀层薄
镀镍,高,19.9,23.6,烧焦
镀锌,低,33.4,26.3,镀层薄
镀镍,高,25.4,37.9,烧焦
镀锌,低,31.8,31.0,OK
镀铬,低,34.5,26.4,OK
镀铬,高,41.3,30.9,烧焦
镀锌,低,42.3,29.2,OK
镀铬,中,41.8,17.5,镀层薄
镀锌,低,18.4,24.3,镀层薄
镀锌,低,18.0,12.9,镀层薄
镀镍,中,25.1,22.7,镀层薄
镀锌,高,23.2,32.1,烧焦
镀铬,高,16.9,38.1,烧焦
镀锌,中,31.4,16.9,OK
镀铬,中,26.4,8.5,镀层薄
镀镍,低,36.6,34.9,OK
镀镍,中,36.1,11.9,镀层薄
镀铬,高,44.6,18.3,烧焦
镀铬,中,25.2,16.3,OK
镀镍,中,38.1,36.7,烧焦
镀铬,低,21.7,29.0,OK
镀锌,高,30.5,22.8,烧焦
镀锌,低,44.2,5.7,镀层薄
镀铬,中,27.1,11.5,镀层薄
镀锌,中,42.8,25.1,烧焦
镀镍,低,34.8,11.1,镀层薄
镀镍,高,22.7,9.9,OK
镀铬,低,28.4,35.5,OK
镀铬,低,38.8,17.3,镀层薄
镀锌,高,18.5,10.7,OK
镀铬,中,16.4,10.4,OK
镀锌,低,20.2,28.6,OK
镀铬,高,20.1,7.2,OK
镀镍,中,31.9,38.7,烧焦
镀铬,低,37.0,9.6,镀层薄
镀镍,中,23.5,23.1,OK
镀镍,低,44.5,18.9,镀层薄
镀铬,中,18.0,10.4,镀层薄
镀锌,低,40.8,37.8,OK
镀铬,中,25.1,8.7,镀层薄
镀锌,低,38.8,25.8,镀层薄
镀锌,低,37.2,32.1,OK
镀镍,高,18.9,19.4,针孔
镀镍,高,28.0,16.8,OK
镀镍,中,42.9,11.8,烧焦
镀锌,中,36.6,14.0,镀层薄
镀锌,高,22.1,31.3,烧焦
镀镍,低,20.4,32.1,OK
镀铬,高,22.2,34.0,烧焦
镀锌,高,15.4,16.4,OK
镀锌,低,15.1,33.2,针孔
镀镍,中,43.6,27.3,烧焦
镀锌,中,40.7,13.2,OK
镀镍,中,29.0,20.7,OK
镀铬,中,20.6,12.2,镀层薄
镀锌,低,29.6,5.7,镀层薄
镀镍,低,33.2,32.0,OK
镀锌,中,32.3,22.3,OK
镀镍,低,36.5,37.6,OK
镀铬,低,24.1,32.0,OK
镀锌,高,19.5,14.7,OK
镀铬,中,38.0,18.2,OK
镀锌,中,31.1,23.8,OK
镀铬,中,34.8,29.2,烧焦
镀镍,低,18.3,13.6,镀层薄
镀铬,高,25.8,33.3,烧焦
镀铬,低,42.2,24.3,针孔
镀铬,中,29.8,8.1,镀层薄
镀镍,高,33.5,35.9,烧焦
镀铬,中,15.8,34.2,OK
镀锌,低,23.9,23.0,OK
镀铬,中,44.7,7.3,镀层薄
镀镍,高,22.5,28.3,OK
镀铬,中,18.9,29.5,OK
镀镍,中,31.4,20.6,OK
镀锌,高,39.0,28.5,烧焦
镀铬,中,23.0,35.3,OK
镀铬,中,32.3,38.8,烧焦
镀锌,中,17.7,10.2,镀层薄
镀铬,高,19.2,18.1,OK
镀铬,中,35.5,17.6,OK
镀铬,低,16.9,39.6,OK
镀镍,高,16.6,15.7,OK
镀铬,中,44.0,39.3,烧焦
镀铬,高,28.6,25.3,烧焦
镀镍,中,22.8,31.9,OK
镀铬,中,35.5,7.2,镀层薄
镀镍,高,27.0,39.4,烧焦
镀镍,中,43.5,29.3,烧焦
镀铬,中,37.9,23.1,OK
镀铬,低,24.2,39.7,OK
镀铬,高,43.2,33.7,烧焦
镀锌,高,26.2,7.7,OK
镀锌,中,43.4,26.8,烧焦
镀锌,高,32.1,20.9,烧焦
镀锌,中,32.4,33.8,烧焦
镀镍,高,35.9,15.8,烧焦
镀铬,高,37.6,21.3,烧焦
镀锌,高,35.7,34.0,烧焦
镀锌,中,27.9,34.7,OK
镀铬,中,18.7,22.1,OK
镀锌,低,36.2,25.9,OK
镀镍,中,17.9,21.7,OK
镀铬,高,43.5,29.5,烧焦
镀锌,中,17.7,6.8,OK
镀铬,中,36.1,21.6,OK
镀锌,低,22.0,21.4,镀层薄
镀锌,中,44.7,5.8,镀层薄
镀锌,低,30.6,8.8,镀层薄
镀镍,高,18.4,36.4,烧焦
镀锌,低,32.6,25.1,OK
镀锌,高,22.4,33.1,烧焦
镀镍,中,24.6,34.4,OK
镀锌,中,38.1,16.9,OK
镀铬,低,23.0,20.2,OK
镀锌,高,25.3,8.5,OK
镀镍,高,16.0,27.3,OK
镀镍,低,16.6,25.8,镀层薄
镀铬,高,29.4,34.0,烧焦
镀铬,高,29.0,24.9,烧焦
镀镍,低,24.6,38.4,OK
镀锌,低,36.1,35.5,OK
镀镍,中,42.9,31.0,烧焦
镀铬,中,22.5,17.0,镀层薄
镀镍,高,22.3,39.1,烧焦
镀锌,低,29.7,32.3,OK
镀铬,中,26.0,14.1,OK
镀铬,中,19.9,29.8,OK
镀铬,高,33.6,5.5,烧焦
镀锌,中,28.0,11.8,镀层薄
镀铬,低,28.6,35.5,OK
镀铬,低,35.8,32.7,OK
镀铬,中,25.0,21.2,OK
镀镍,中,19.0,34.0,针孔
镀镍,低,21.5,35.7,OK
镀镍,低,36.8,16.8,镀层薄
镀锌,低,40.0,34.9,OK
镀镍,低,17.8,26.6,镀层薄
镀锌,低,43.8,10.2,镀层薄
镀镍,高,23.2,39.7,OK
镀镍,低,34.2,6.4,镀层薄
镀锌,中,24.7,21.3,OK
镀锌,高,30.8,34.2,烧焦
镀锌,中,18.8,8.9,OK
镀锌,低,30.7,37.8,OK
镀镍,中,40.7,26.8,烧焦
镀镍,中,16.6,34.0,OK
镀铬,低,42.2,6.8,镀层薄
镀铬,高,43.0,22.1,烧焦
镀锌,中,37.9,14.5,OK
镀铬,中,15.8,8.2,镀层薄
镀铬,中,15.2,39.2,OK
镀铬,低,16.9,31.8,针孔
镀锌,低,30.2,25.1,镀层薄
镀铬,中,15.8,12.2,针孔
镀锌,中,16.5,29.9,OK
镀铬,高,22.5,26.0,烧焦
镀锌,高,35.5,10.8,烧焦
镀锌,低,41.5,35.5,针孔
镀锌,低,17.6,38.2,针孔
镀铬,低,34.6,7.8,镀层薄
镀锌,高,33.4,36.7,烧焦
镀镍,低,24.9,21.7,OK
镀锌,中,15.7,24.4,针孔
镀锌,中,25.4,25.4,烧焦
镀铬,低,15.3,27.5,针孔
镀铬,低,42.3,11.2,镀层薄
镀铬,低,35.8,26.4,OK
镀镍,高,24.8,39.0,烧焦
镀锌,中,16.8,17.0,针孔
镀镍,低,38.3,13.3,镀层薄
镀锌,中,34.2,16.1,镀层薄
镀铬,中,25.4,20.2,OK
镀铬,高,21.0,34.2,烧焦
镀镍,高,25.0,22.7,烧焦
镀镍,中,35.3,38.5,烧焦
镀镍,中,44.4,13.7,OK
镀镍,中,29.9,5.3,镀层薄
镀锌,高,32.5,12.6,烧焦
镀镍,低,42.4,32.3,OK
镀镍,中,30.3,11.0,OK
镀锌,中,26.2,20.3,OK
镀镍,高,20.4,11.7,OK
镀镍,低,24.9,22.5,OK
镀铬,中,30.0,12.2,镀层薄
镀锌,中,41.2,36.2,烧焦
镀铬,低,22.8,30.4,OK
镀镍,低,26.7,8.5,镀层薄
镀镍,低,26.6,12.8,镀层薄
镀镍,中,26.9,13.3,镀层薄
镀镍,低,37.0,30.4,OK
镀镍,低,16.1,17.0,镀层薄
镀镍,高,40.4,37.0,烧焦
镀镍,中,29.2,38.6,烧焦
镀锌,高,24.6,11.4,烧焦
镀锌,低,38.4,34.2,OK
镀锌,低,21.8,13.9,镀层薄
镀镍,高,18.4,33.9,针孔
镀铬,低,33.3,23.1,OK
镀铬,高,42.6,6.0,烧焦
镀镍,中,22.1,27.3,OK
镀锌,高,26.8,38.8,烧焦
镀铬,高,28.0,17.8,OK
镀镍,低,33.4,19.8,镀层薄
镀锌,低,37.9,23.9,OK
镀锌,中,17.0,25.6,OK
镀镍,中,21.7,16.2,OK
镀铬,中,23.5,11.4,镀层薄
镀镍,高,41.0,19.3,烧焦
镀镍,中,34.3,17.4,镀层薄
镀锌,中,24.5,13.1,镀层薄
镀镍,中,27.9,36.6,OK
镀镍,中,23.2,17.1,OK
镀镍,中,38.8,6.2,镀层薄
镀镍,低,19.6,15.3,镀层薄
镀镍,低,21.3,39.2,针孔
镀铬,高,25.6,16.2,OK
镀镍,中,30.3,32.5,烧焦
镀铬,高,35.4,39.0,烧焦
镀锌,低,15.5,37.4,针孔
镀镍,高,15.8,29.6,针孔
镀锌,中,43.2,29.2,针孔
镀镍,低,39.5,12.1,镀层薄
镀铬,低,42.6,38.7,针孔
镀镍,低,21.1,20.6,镀层薄
镀镍,高,37.0,15.0,烧焦
镀镍,中,38.7,8.7,OK
镀铬,中,39.2,34.1,烧焦
镀锌,高,41.2,35.3,烧焦
镀镍,中,23.1,17.7,OK
镀镍,中,36.7,21.2,OK
镀锌,中,18.6,32.9,OK
镀镍,中,29.2,33.8,OK
镀镍,低,15.7,38.2,OK
镀铬,高,43.7,15.5,烧焦
镀镍,中,22.2,15.5,OK
镀镍,低,24.4,33.4,OK
镀锌,中,35.4,35.5,烧焦
镀镍,中,40.4,25.8,OK
镀铬,中,39.1,15.4,镀层薄
镀镍,低,28.0,23.2,镀层薄
镀锌,低,16.1,17.2,镀层薄
镀铬,中,39.3,29.0,烧焦
镀锌,中,32.4,24.1,烧焦
镀铬,高,33.2,30.4,烧焦
镀铬,高,24.7,20.9,OK
镀镍,中,36.1,32.4,OK
镀铬,中,29.4,35.7,OK
镀锌,低,26.8,25.4,镀层薄
镀锌,低,21.6,24.0,镀层薄
镀锌,中,34.6,21.3,OK
镀锌,中,32.1,23.8,OK
镀铬,中,26.8,18.1,OK
镀锌,中,38.3,21.0,OK
镀锌,高,27.6,10.5,OK
镀镍,低,35.2,10.8,镀层薄
镀锌,中,27.3,12.9,镀层薄
镀锌,低,33.6,6.5,镀层薄
镀铬,低,29.7,6.3,镀层薄
镀锌,高,39.4,23.1,烧焦
镀锌,中,20.5,31.4,OK
镀铬,高,33.7,37.6,烧焦
镀镍,高,30.2,30.6,烧焦
镀铬,高,35.0,30.2,烧焦
镀锌,低,41.5,18.0,镀层薄
镀铬,低,28.1,32.5,OK
镀锌,高,29.7,27.9,烧焦
镀镍,中,24.8,31.8,烧焦
镀锌,低,22.0,8.1,镀层薄
镀锌,低,27.4,21.1,镀层薄
镀锌,高,21.3,33.2,烧焦
镀锌,高,44.4,37.9,烧焦
镀镍,低,18.0,36.8,OK
镀铬,高,35.2,32.3,烧焦
镀锌,中,23.6,29.3,OK
镀镍,高,40.3,12.8,烧焦
镀镍,高,33.6,28.1,烧焦
镀铬,中,22.1,23.8,OK
镀锌,低,17.1,5.5,镀层薄
镀铬,低,15.2,29.0,镀层薄
镀镍,低,23.4,38.4,OK
镀镍,低,24.2,19.5,OK
镀镍,中,32.3,22.2,OK
镀镍,低,32.0,34.3,OK
镀锌,中,44.0,27.7,烧焦
镀锌,高,34.2,21.0,烧焦
镀铬,高,34.0,34.7,烧焦
镀锌,中,25.3,11.2,镀层薄
镀镍,低,42.8,18.5,镀层薄
镀镍,高,29.3,11.6,烧焦
镀铬,低,36.7,20.0,镀层薄
镀锌,低,34.7,26.9,OK
镀锌,中,32.3,38.6,烧焦
镀锌,中,19.8,24.5,OK
镀铬,高,31.9,19.1,烧焦
镀锌,低,43.1,35.1,针孔
镀铬,中,39.5,30.2,烧焦
镀锌,低,26.9,30.6,OK
镀铬,低,37.4,24.6,镀层薄
镀铬,低,27.4,30.7,OK
镀镍,中,17.7,13.4,镀层薄
镀锌,低,39.9,9.0,镀层薄
镀镍,高,43.1,38.1,烧焦
镀铬,高,17.7,24.8,OK
镀镍,高,32.2,6.0,烧焦
镀镍,中,24.8,19.1,OK
镀铬,高,37.1,9.1,烧焦
镀锌,中,42.4,13.2,针孔
镀铬,中,20.3,11.4,镀层薄
镀锌,高,42.6,38.9,烧焦
镀镍,高,42.9,28.8,烧焦
镀镍,低,36.7,7.8,镀层薄
镀铬,中,27.2,39.3,烧焦
镀锌,低,28.8,24.7,OK
镀锌,高,19.2,14.4,OK
镀镍,中,24.7,24.4,OK
镀镍,高,31.6,6.1,烧焦
镀锌,低,42.5,26.4,镀层薄
镀锌,低,39.1,38.6,OK
镀铬,中,22.8,30.3,OK
镀锌,低,20.1,32.2,OK
镀镍,中,44.2,5.6,镀层薄
镀铬,中,38.1,15.4,镀层薄
镀锌,高,30.6,12.5,OK
镀锌,中,22.3,14.9,镀层薄
镀铬,中,30.4,23.1,OK
镀铬,中,22.2,34.5,OK
镀镍,低,19.2,17.6,镀层薄
镀铬,高,43.1,16.1,烧焦
镀锌,高,26.7,26.5,烧焦
镀锌,中,32.1,37.1,烧焦
镀镍,高,16.6,23.3,针孔
镀铬,中,33.3,19.1,OK
镀铬,高,39.4,19.5,烧焦
镀镍,低,42.7,29.9,镀层薄
镀镍,低,37.8,36.2,OK
镀锌,低,23.0,20.3,镀层薄
镀镍,低,41.8,13.2,镀层薄
镀镍,低,34.4,28.7,镀层薄
镀铬,高,25.7,14.7,OK
镀铬,低,38.0,37.5,烧焦
镀铬,中,28.4,11.3,镀层薄
镀镍,中,17.0,9.3,镀层薄
镀锌,高,31.9,28.8,烧焦
镀锌,中,25.9,37.5,烧焦
镀铬,高,38.0,23.5,烧焦
镀锌,中,38.5,33.4,烧焦
镀镍,低,44.7,31.1,针孔
镀锌,中,22.0,24.1,OK
镀铬,中,21.5,5.6,镀层薄
镀镍,低,37.8,7.6,镀层薄
镀铬,中,24.6,20.8,OK
镀锌,高,19.7,16.3,OK
镀锌,高,17.5,22.2,OK
镀铬,高,29.4,16.7,烧焦
镀锌,高,25.4,10.8,镀层薄
镀锌,低,16.7,19.5,镀层薄
镀镍,高,39.5,21.5,烧焦
镀铬,高,20.1,15.3,OK
镀锌,中,26.9,27.0,OK
镀锌,低,37.9,29.5,OK
镀铬,高,15.9,26.8,OK
镀锌,高,37.6,26.2,烧焦
镀镍,低,30.3,16.2,镀层薄
镀铬,低,44.0,39.2,针孔
镀镍,低,25.6,20.1,镀层薄
镀锌,高,21.9,31.4,烧焦
镀铬,高,29.1,24.1,OK
镀锌,高,23.8,5.0,OK
镀铬,高,16.1,37.9,针孔
镀镍,高,21.2,22.4,烧焦
镀镍,高,39.6,27.4,烧焦
镀镍,高,38.9,9.9,OK
镀铬,高,35.9,39.8,烧焦
镀镍,低,29.9,38.4,OK
镀锌,中,34.5,20.6,OK
镀铬,中,33.3,14.6,OK
镀镍,低,20.8,29.6,镀层薄
镀铬,中,20.9,32.2,OK
镀锌,中,20.5,28.2,针孔
镀镍,低,36.5,25.5,OK
镀锌,中,22.4,17.5,镀层薄
镀铬,中,32.3,26.1,OK
镀锌,高,39.9,8.1,烧焦
镀镍,中,21.4,39.5,烧焦
镀锌,高,24.7,33.0,烧焦
镀锌,高,38.9,14.8,烧焦
镀镍,中,32.2,35.0,OK
镀镍,高,18.1,15.7,OK
镀镍,高,23.6,23.5,OK
镀铬,中,21.4,35.2,OK
镀铬,中,28.7,32.5,烧焦
镀铬,低,29.1,20.5,镀层薄
镀锌,高,38.8,13.2,烧焦
镀锌,低,32.8,25.0,OK
镀镍,中,21.2,28.9,OK
镀镍,中,32.5,5.6,镀层薄
镀铬,低,25.7,30.9,镀层薄
镀镍,高,26.9,28.6,OK
镀铬,低,40.9,35.5,OK
镀镍,高,15.1,10.7,针孔
镀锌,高,30.8,16.3,烧焦
镀锌,中,24.6,38.3,烧焦
镀铬,中,42.3,12.2,OK
镀锌,中,20.4,28.0,OK
镀镍,高,31.4,7.1,OK
镀铬,低,26.0,25.2,OK
镀铬,高,38.3,19.6,烧焦
镀镍,低,34.6,7.3,镀层薄
镀锌,中,42.7,20.6,烧焦
镀镍,中,36.7,8.2,镀层薄
镀锌,低,24.4,6.3,镀层薄
镀镍,高,29.3,10.5,OK
镀铬,中,24.1,27.6,OK
镀铬,高,43.8,5.3,烧焦
镀锌,低,23.0,8.0,镀层薄
镀镍,低,17.7,18.7,镀层薄
镀镍,低,25.4,14.5,镀层薄
镀锌,低,32.4,13.8,镀层薄
镀铬,低,30.8,39.8,OK
镀锌,中,33.9,33.8,烧焦
镀镍,高,20.3,25.6,OK
镀镍,中,17.4,7.1,镀层薄
镀镍,低,25.9,30.4,OK
镀镍,中,23.6,25.2,OK
镀镍,高,15.2,29.7,OK
镀锌,高,19.7,10.5,烧焦
镀铬,中,32.2,12.0,镀层薄
镀铬,低,30.8,15.4,镀层薄
镀锌,低,16.8,20.1,镀层薄
镀镍,高,30.1,6.7,烧焦
镀锌,高,26.4,9.0,OK
镀铬,中,37.2,24.7,烧焦
镀镍,高,35.4,21.6,烧焦
镀镍,高,19.2,25.3,OK
镀锌,中,21.1,9.8,镀层薄
镀铬,高,15.2,25.1,针孔
镀锌,高,39.2,25.4,烧焦
镀铬,高,22.8,27.4,烧焦
镀镍,低,32.3,8.8,镀层薄
镀镍,中,19.1,30.6,OK
镀镍,中,41.1,27.3,烧焦
镀铬,高,39.4,28.2,烧焦
镀铬,低,20.2,19.9,镀层薄
镀锌,高,27.7,16.3,OK
镀镍,高,19.4,32.5,针孔
镀锌,低,27.6,22.3,镀层薄
镀镍,高,25.8,38.8,烧焦
镀镍,低,42.6,11.2,镀层薄
镀铬,高,18.1,27.0,烧焦
镀镍,高,37.7,21.9,烧焦
镀锌,低,39.8,29.9,OK
镀镍,高,34.5,13.1,烧焦
镀锌,高,41.4,12.5,烧焦
镀镍,低,36.5,16.7,镀层薄
镀铬,低,27.4,33.4,OK
镀锌,低,30.4,27.3,镀层薄
镀锌,低,22.2,26.0,镀层薄
镀镍,中,27.2,30.2,烧焦
镀镍,高,28.7,11.5,OK
镀锌,低,16.2,26.5,OK
镀锌,中,43.1,15.9,镀层薄
镀镍,低,34.3,35.0,OK
镀铬,中,41.0,23.4,OK
镀锌,低,33.5,27.7,OK
镀锌,中,24.9,35.4,OK
镀锌,中,32.3,6.7,镀层薄
镀镍,高,36.2,39.1,烧焦
镀镍,中,25.4,23.8,OK
镀锌,中,36.7,30.3,OK
镀铬,低,32.4,39.5,OK
镀镍,低,22.2,25.4,镀层薄
镀镍,高,24.0,10.5,烧焦
镀铬,高,20.8,37.8,烧焦
镀镍,高,27.1,31.5,烧焦
镀镍,高,18.1,30.3,针孔
镀镍,高,26.5,6.6,OK
镀锌,中,18.1,16.4,OK
镀镍,低,42.5,19.9,镀层薄
镀铬,中,22.9,12.1,镀层薄
镀锌,高,18.3,39.4,烧焦
镀镍,中,43.2,16.6,烧焦
镀锌,低,16.4,36.0,OK
镀铬,中,25.3,13.0,镀层薄
镀镍,低,42.3,6.6,镀层薄
镀镍,中,32.7,21.8,烧焦
镀铬,高,18.0,26.2,OK
镀锌,中,25.2,35.2,OK
镀镍,低,44.0,13.8,OK
镀镍,低,22.3,20.8,镀层薄
镀铬,高,20.5,8.0,OK
镀镍,高,28.7,22.5,烧焦
镀镍,高,23.9,32.3,烧焦
镀锌,高,27.6,17.6,OK
镀锌,高,19.6,8.4,OK
镀镍,中,34.2,16.7,OK
镀镍,高,24.8,20.2,烧焦
镀铬,高,38.1,33.2,烧焦
镀铬,高,28.0,31.3,OK
镀镍,高,16.6,9.1,针孔
镀铬,低,16.6,15.9,镀层薄
镀铬,中,30.8,26.7,OK
镀锌,中,17.4,20.9,OK
镀镍,中,32.1,35.1,OK
镀锌,中,31.4,16.2,OK
镀铬,高,41.9,15.6,针孔
镀镍,高,37.6,39.9,烧焦
镀锌,高,16.4,10.8,针孔
镀铬,中,43.5,17.5,OK
镀铬,高,18.2,27.1,烧焦
镀锌,高,20.5,6.7,OK
镀镍,低,21.9,23.6,OK
镀镍,中,23.6,10.8,OK
镀锌,中,38.9,7.0,镀层薄
镀镍,高,21.1,26.0,烧焦
镀铬,高,16.2,14.7,OK
镀锌,低,27.9,19.3,OK
镀铬,中,34.1,10.3,镀层薄
镀铬,中,17.0,20.2,针孔
镀铬,高,23.9,39.9,烧焦
镀锌,低,40.7,13.3,镀层薄
镀镍,中,31.2,36.7,OK
镀铬,高,16.1,7.1,OK
镀镍,中,32.2,31.0,烧焦
镀铬,高,39.2,15.1,烧焦
镀铬,中,33.7,19.4,OK
镀铬,高,19.0,16.5,OK
镀镍,高,23.6,21.1,烧焦
镀锌,高,37.2,33.7,烧焦
镀铬,中,43.9,18.3,针孔
镀锌,中,17.7,6.0,镀层薄
镀镍,高,40.0,37.8,烧焦
镀铬,低,26.0,34.7,OK
镀铬,中,33.3,14.6,镀层薄
镀锌,高,24.4,26.7,烧焦
镀铬,低,37.4,23.9,镀层薄
镀镍,高,32.6,30.1,烧焦
镀镍,高,38.4,6.7,OK
镀锌,低,18.9,13.7,镀层薄
镀铬,中,16.0,37.3,针孔
镀镍,中,35.6,38.6,烧焦
镀锌,中,19.6,24.0,OK
镀锌,中,25.9,23.6,OK
镀铬,低,34.7,6.9,镀层薄
镀锌,中,43.7,14.0,针孔
镀铬,低,44.8,30.0,OK
镀锌,中,30.6,11.1,镀层薄
镀铬,低,38.4,12.2,镀层薄
镀锌,低,21.5,20.8,OK
